Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,MSS,10/100/1000 Ethernet,RCOSC_50MHZ,XTLOSC
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoU/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoV/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKon/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKoq/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwA/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwI/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwJ/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwQ0/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwR/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwS/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwU/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwV/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwn/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKwq/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxA/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxI/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxJ/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxQ0/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxR/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxS/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxU/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxV/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxn/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b8_1LbcgKxq/Primitives,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/Primitives,86,125,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/b11_nUTGT_khWqH/Primitives,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/iclksync/Primitives,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/IICE_INST/b8_uKr_IFLY/Primitives,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/comm_block_INST/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/comm_block_INST/b7_Rcmi_ql/Primitives,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/comm_block_INST/b9_ORb_xNywD/Primitives,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0
ident_coreinst/comm_block_INST/jtagi/Primitives,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
m2s010_som_sb_0/CCC_0/Primitives,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
m2s010_som_sb_0/CORECONFIGP_0/Primitives,65,74,0,0,0,0,0,0,0,0,0,0,0,0,0
m2s010_som_sb_0/CORERESETP_0/Primitives,31,50,0,0,0,0,0,0,0,0,0,0,0,0,0
m2s010_som_sb_0/FABOSC_0/Primitives,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
m2s010_som_sb_0/Primitives,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
m2s010_som_sb_0/m2s010_som_sb_MSS_0/Primitives,9,0,0,0,64,1,0,0,0,2,0,1,0,0,0
